name,composer
Maze, The,Herbie Hancock
Mc Jolt,Richie Beirach
Mean To Me,Turk-Ahlert
Meaning Of The Blues, The,Worth-Troup
Meditation,Antonio-Carlos Jobim
Memories Of Tomorrow,Keith Jarrett
Memories Of You,Eubie Blake
Mercy Mercy Mercy,Joe Zawinul
Midnight Blue,Kenny Burrell
Midnight Mood,Joe Zawinul
Midnight Sun,Hampton-Burke-Mercer
Milano,John Lewis
Miles Ahead,Miles Davis
Milestones (New),Miles Davis
Milestones (Old),Miles Davis
Mimi,Richard Rogers
Mimosa,George Benson
Minoat,Mal Waldron
Minor Mishap,Tommy Flanagan
Minor Mood,Clifford Brown
Minor Strain,Bobby Timmons
Minority,Gigi Gryce
Mirror, Mirror,Corea Chick
Misterioso,Thelonious Monk
Misty,Erroll Garner
Miyako,Wayne Shorter
Moanin',Bobby Timmons
Moment's Notice,John Coltrane
Moments To Remember,Robert Allen
Mona Lisa,Livingston-Evans
Monk's Dream,Thelonious Monk
Monk's Mood,Thelonious Monk
Mood Indigo,Duke Ellington
Moon Alley,Tom Harrell
Moon And Sand,Wilder-Palitz
Moon Mist,Ellington-Mercer
Moon Rays,Horace Silver
Moon River,Henry Mancini
Moonchild,Keith Jarrett
Moondance,Van Morrison
Moonglow,Hudson-Lange-Mills
Moonlight Becomes You,Jimmy Van-Heusen
Moonlight In Vermont,Karl Suessdorf
Moonlight Saving Time,Irving Kahal
Moonlight Serenade,Miller-Parish
Moontrane, The,Woody Shaw
Moose The Mooche,Charlie Parker
More I See You, The,Harry Warren
More Than You Know,Vincent Youmans
Morgan The Pirate,Lee Morgan
Morning,Clare Fischer
Moten Swing,Bennie Moten
Mountain Greenery,Richard Rodgers
Move,Denzil Best
Mr. P.C.,John Coltrane
My Baby Just Cares For Me,Walter Donaldson
My Buddy,Walter Donaldson
My Favorite Things,Richard Rodgers
My Foolish Heart,Victor Young
My Funny Valentine,Richard Rodgers
My Heart Belongs To Daddy,Cole Porter
My Heart Stood Still,Richard Rodgers
My Ideal,Richard Whiting
My Last Affair,Haven Johnson
My Little Brown Book,Billy Strayhorn
My Little Suede Shoes,Charlie Parker
My Lucky Star,DeSylva-Brown-Henderson
My Man's Gone Now,George Gershwin
My Melancholy Baby,Burnett-Norton
My Old Flame,Johnson-Coslow
My One And Only Love,Wood-Mellin
My Romance,Richard Rodgers
My Secret Love,Roger Vogel
My Shining Hour,Harold Arlen
My Ship,Kurt Weill
My Song,Keith Jarrett
My Way,Revaux-Francois-Thibaud-Anka
Nacada,Pat Metheny
Naima,John Coltrane
Nancy (With The Laughing Face),Jimmy Van-Heusen
Nardis,Miles Davis
Nascimento,Barry Harris
Nature Boy,Eden Ahbez
Nearness Of You, The,Hoagy Carmichael
Nefertiti,Wayne Shorter
Never Let Me Go,Jay Livingston
Never Will I Marry,Frank Loesser
Nevertheless,Kalmar-Ruby
New Picture,Jimmy Heath
New York, New York,John Kander
Nica's Dream,Horace Silver
Nice 'n Easy,Spence-Bergman-Keith
Nice Work If You Can Get It,George Gershwin
Nicolette,Kenny Wheeler
Night And Day,Cole Porter
Night Dreamer,Wayne Shorter
Night Has A Thousand Eyes, The,Jerry-Brainin
Night We Called It A Day, The,Matt Dennis
No Moe,Sonny Rollins
No Moon At All,David Mann
No Splice,Lee Konitz
Nobody Else But Me,Jerome Kern
Nostalgia In Times Square,Charles Mingus
Nothing Personal,Don Grolnick
Now's The Time,Charlie Parker
Nuages,Django Reinhardt
Nutty,Thelonious Monk
Nutville,Horace Silver
O Grande Amor,Antonio-Carlos Jobim
Odd Couple, The,Neal Hefti
Off Minor,Thelonious Monk
Oh, Lady Be Good,George Gershwin
Oh, What A Beautiful Mornin',Richard Rodgers
Oh! Look At Me Now,DeVries-Bushkin
Ol' Man River,Jerome Kern
Old Cape Cod,Rothrock-Vakus-Jeffrey
Old Country, The,Adderley-Lewis
Old Devil Moon,Burton Lane
Old Folks,Willard Robison
Oleo,Sonny Rollins
Oliloqui Valley,Herbie Hancock
On A Clear Day,Burton Lane
On A Slow Boat To China,Frank Loesser
On Broadway,Mann-Weil-Stoller-Leiber
On Green Dolphin Street,Bronislau Kaper
On The Street Where You Live,Frederick Loewe
On The Sunny Side Of The Street,Jimmy McHugh
On The Trail,Ferde Grofe
Once I Loved,Antonio-Carlos Jobim
Once In A While,Michael Edwards
Once Upon A Summertime (La Valse Des Lilas),Legrand-Barclay-Marnay-Mercer
One By One,Wayne Shorter
One Finger Snap,Herbie Hancock
One Foot In The Gutter,Clark Terry
One For My Baby,Harold Arlen
One I Love (Belongs To Somebody Else), The,Isham Jones
One Morning In May,Hoagy Carmichael
One Note Samba,Antonio-Carlos Jobim
Only Trust Your Heart,Benny Carter
Onmo,Kenny Wheeler
Opener, The,Bill Evans
Opus De Funk,Horace Silver
Orange Colored Sky,DeLugg-Stein
Ornithology,Charlie Parker
Our Delight,Tad Dameron
Our Love is Here to Stay,George Gershwin
Out Of Nowhere,Johnny Green
Out Of This World,Harold Arlen
Over The Rainbow (Somewhere),Harold Arlen
P.S. I Love You,Gordon Jenkins
Palo Alto,Lee Konitz
Pannonica,Thelonious Monk
Paper Doll,Johnny Black
Parisian Thoroughfare,Bud Powell
Parker's Mood,Charlie Parker
Party's Over, The,Styne-Comden-Green
Passion Dance,McCoy Tyner
Passion Flower,Billy Strayhorn
Passport,Charlie Parker
Peace,Horace Silver
Peacocks, The,Jimmy Rowles
Pee Wee,Tony Williams
Peel Me A Grape,Dave Frishberg
Pennies From Heaven,Arthur Johnston
Pensativa,Clare Fischer
Pent Up House,Sonny Rollins
Penthouse Serenade,Jason-Burton
People,Jule Styne
People Will Say We're In Love,Richard Rodgers
Perdido,Juan Tizol
Perhaps,Charlie Parker
Perhaps, Perhaps, Perhaps,Farres-Davis
Peri's Scope,Bill Evans
Petit Fleur,Sidney Bechet
Pfrancing (No Blues),Miles Davis
Phase Dance,Pat Metheny
Pick Yourself Up,Jerome Kern
Ping Pong,Wayne Shorter
Pink Panther, The,Henry Mancini
Pinocchio,Wayne Shorter
Played Twice,Thelonious Monk
Poinciana,Nat Simon
Polkadots And Moonbeams,Jimmy Van-Heusen
Poor Butterfly,Raymon Hubbell
Popsicle Toes,Michael Franks
Portrait Of Jennie,Burdge-Robinson
Preacher, The,Horace Silver
Prelude To A Kiss,Duke Ellington
Pretend,Douglas-Parman-Lavere
Prism,Keith Jarrett
Progression,Lee Konitz
Punjab,Joe Henderson
Pure Imagination,Anthony Newley
Put On A Happy Face,Charles Strouse
Puttin' On The Ritz,Irvin Berlin
Quasimodo (Blowing Changes),Charlie Parker
Quasimodo (Theme),Charlie Parker
Questar,Keith Jarrett
Question And Answer,Pat Metheny
Quiet Now,Denny Zeitlin
Radio,Steve Swallow
Rainbow Connection, The,Williams-Ascher
Raincheck,Billy Strayhorn
Re: Person I Knew,Bill Evans
Recado Bossa Nova,Djalma Ferreira
Recordame,Joe Henderson
Red Clay,Freddie Hubbard
Red Top,Lionel Hampton
Reflections,Thelonious Monk
Relaxin' At Camarillo,Charlie Parker
Remember,Irving Berlin
Rhythm-a-ning,Thelonious Monk
Road Song,Wes Montgomery
Robbin's Nest,Thompson-Jacquet
Rockin' Chair,Hoagy Carmichael
Room 608,Horace Silver
Rose Room,Art Hickman
Rosetta,Earl Hines
Round Midnight,Thelonious Monk
Route 66,Bobby Troup
Ruby, My Dear,Thelonious Monk
S.O.S.,Wes Montgomery
S' Wonderful,George Gershwin
S'posin',Paul Denniker
Saga Of Harrison Crabfeathers, The,Steve Kuhn
Sail Away,Tom Harrell
Salt Peanuts,Dizzy Gillespie
Samba De Orfeu,Luiz Bonfa
San Francisco Holiday,Thelonious Monk
Sandu,Clifford Brown
Satellite,John Coltrane
Satin Doll,Strayhorn-Ellington
Save Your Love For Me,Buddy Johnson
Say It (Over And Over Again),Frank Loesser
Say the Brother's Name,Pat Metheny
Scene,Tom Harrell
Scotch And Soda,Dave Guard
Scrapple From The Apple,Charlie Parker
Sea Journey,Chick Corea
Second Star To The Right, The,Sammy Fain
Second Time Around, The,Jimmy Van-Heusen
Secret Love,Sammy Fain
Segment,Charlie Parker
Sentimental Journey,Brown-Green-Homer
September In The Rain,Harry Warren
September Song,Kurt Weill
Serenade To A Cuckoo,Roland Kirk
Serenade To A Soul Sister,Horace Silver
Serene,Eric Dolphy
Serenity,Joe Henderson
Serpent's Tooth,Miles Davis
Seven Come Eleven,Goodman-Christian
Seven Steps To Heaven,Victor Feldman
Shadow Of Your Smile, The,Johnny Mandel
Shaw 'Nuff,Charlie Parker
She's Funny That Way,Charles Daniels
Shine,Dabney-Mack-Brown
Shiny Stockings,Frank Foster
Shutterbug,J.J. Johnson
Si Si,Charlie Parker
Sid's Delight,Tadd Dameron
Sidewinder,Lee Morgan
Silver's Serenade,Horace Silver
Simone,Frank Foster
Since I Fell For You,Buddy Johnson
Sippin' At Bells,Miles Davis
Sister Sadie,Horace Silver
Skating In Central Park,John Lewis
Skippy,Thelonious Monk
Skylark,Hoagy Carmichael
Skyliner,Charlie Barnet
Slipped Disc,Benny Goodman
Slow Hot Wind,Henry Mancini
Smile,Charles Chaplin
Smoke Gets In Your Eyes,Jerome Kern
Smoke Rings,Gifford-Washington
Sno' Peas,Phil Markowitz
Só Danço Samba,Antonio-Carlos Jobim
So In Love,Cole Porter
So Many Stars,Sergio Mendez
So Nice (Summer Samba),Marco Valles
So Tender,Keith Jarrett
So What,Miles Davis
Softly, As In A Morning Sunrise,Sigmund Romberg
Solar,Miles Davis
Solitude,Duke Ellington
Some Enchanted Evening,Richard Rodgers
Some Other Blues,John Coltrane
Some Other Spring,Herzog-Kitchings
Some Other Time,Leonard Bernstein
Somebody Loves Me,George Gershwin
Someday (You'll Be Sorry),Louis Armstrong
Someday My Prince Will Come,Frank Churchill
Someday You'll Be Sorry,Louis Armstrong
Someone To Watch Over Me,George Gershwin
Sometime Ago,Sergio Mikanovich
Sometimes I'm Happy,Vincent Youmans
Somewhere,Leonard Bernstein
Song For My Father,Horace Silver
Song For My Lady,McCoy Tyner
Song Is You, The,Jerome Kern
Sonnymoon For Two,Sonny Rollins
Soon,George Gershwin
Sophisticated Lady,Duke Ellington
Sorcerer, The,Herbie Hancock
Soul Eyes,Mal Waldron
Soultrane,Tadd Dameron
Sound Lee,Lee Konitz
Souvenir,Benny Carter
Spain,Chick Corea
Speak Like A Child,Herbie Hancock
Speak Low,Kurt Weill
Speak No Evil,Wayne Shorter
Spiral,John Coltrane
Spring Can Really Hang You Up The Most,Tommy Wolf
Spring Is Here,Richard Rodgers
St. James Infirmary,Joe Primrose
St. Louis Blues,W.C. Handy
St. Thomas,Sonny Rollins
Stablemates,Benny Golson
Stairway To The Stars,Matt Maineck
Star Dust,Hoagy Carmichael
Star Eyes,Gene DePaul
Star-Crossed Lovers, The,Strayhorn-Ellington
Stars Fell On Alabama,Frank Perkins
Stella By Starlight,Victor Young
Stolen Moments,Oliver Nelson
Stompin' At The Savoy,Webb-Goodman-Sampson
Stormy Weather,Harold Arlen
Straight Life,Freddie Hubbard
Straight No Chaser,Thelonious Monk
Straight Street,John Coltrane
Straighten Up And Fly Right,Cole-Mills
Strangers In The Night,Bert Kaempfert
Strayhorn 2,Gerry Mulligan
Street Of Dreams,Victor Young
Strike Up The Band,George Gershwin
Strode Rode,Sonny Rollins
Strollin',Horace Silver
Struttin' With Some Barbecue,Lillian Armstrong
Subconscious Lee,Lee Konitz
Suddenly It's Spring,Jimmy Van-Heusen
Sugar,Stanley Turrentine
Summer Band Camp,Mick Goodrick
Summer In Central Park,Horace Silver
Summer Knows, The,Michel Legrand
Summer Serenade,Benny Carter
Summer Wind, The,Meyer-Mercer
Summertime,George Gershwin
Sun down,Wes Montgomery
Sunny,Bobby Hebb
Sunshower,Kenny Barron
Surrey With The Fringe On The Top,Richard Rodgers
Sway,Ruiz-Gimbel
Sweeping Up,Steve Swallow
Sweet And Lovely,Arnheim-Daniels-Tobias
Sweet Georgia Bright,Charles Lloyd
Sweet Georgia Brown,Pinkard-Casey-Bernie
Sweet Lorraine,Cliff Burwell
Sweet Sue, Just You,Harris-Young
Sweetest Sounds, The,Richard Rodgers
Swinging At The Haven,Ellis Marsalis
Swinging Shepherd Blues, The,Koffman-Roberts-Jacobson
Tadd's Delight,Tadd Dameron
Take Five,Paul Desmond
Take The A Train,Billy Strayhorn
Taking A Chance On Love,Vernon Duke
Tangerine,Victor Schertzinger
Tautology,Lee Konitz
Tea For Two,Vincent Youmans
Teach Me Tonight,Gene DePaul
Tell me a bedtime story,Herbie Hancock
Tempus Fugit,Bud Powell
Tenderly,Walter Gross
Tenor Madness,Sonny Rollins
Thanks For The Memory,Leo Robin
That Old Black Magic,Harold Arlen
That Old Devil Called Love,Doris Fisher
That Old Feeling,Brown-Fain
That's All,Haymes-Brandt
That's Life,Kay-Gordon
Thelonious,Thelonious Monk
Them There Eyes,Tracy-Tauber-Pinkard
Theme, The,Miles Davis
There Is No Greater Love,Isham Jones
There Will Never Be Another You,Harry Warren
There'll Be Some Changes Made,Benton Overstreet
There's A Lull In My Life,Harry Revel
There's A Small Hotel,Richard Rodgers
There's No You,Hal Hopper
These Foolish Things,Strachey-Link
They All Laughed,George Gershwin
They Can't Take That Away From Me,George Gershwin
They Didn't Believe Me,Jerome Kern
They Say,Heyman-Mann-Weiss
They Say It's Wonderful,Irving Berlin
Things Ain't What They Used To Be,Duke Ellington
Things We Did Last Summer, The,Cahn-Styne
Think Of One,Thelonious Monk
This Can't Be Love,Richard Rodgers
This Could Be The Start Of Something Good,Steve Allen
This I Dig Of You,Hank Mobley
This Is All I Ask,Gordon Jenkins
This Is New,Kurt Weill
This Masquerade,Leon Russell
This Time The Dream's On Me,Harold Arlen
This Year's Kisses,Irving Berlin
Thou Swell,Richard Rodgers
Three Little Words,Harry Ruby
Thrill Is Gone, The,Ray Henderson
Thriving From A Riff,Charlie Parker
Tickle-Toe,Lester Young
Till There Was You,Meredith Wilson
Time After Time,Jule Styne
Time On My Hands,Vincent Youmans
Time Remembered,Bill Evans
Tin Tin Deo,Dizzy Gillespie
Tiny Capers,Clifford Brown
Tippin',Horace Silver
Tis Autumn,Henry Nemo
Tokyo Blues,Horace Silver
Tones For Joan's Bones,Chick Corea
Tonight,Bernstein-Sondheim
Tonight I Shall Sleep,Ellington-Mercer
Tonight You Belong To Me,Rose-David
Too Close For Comfort,Bock-Weiss-Holofcener
Too Marvelous For Words,Richard Whiting
Too Young,Lippman-Dee
Too Young To Go Steady,Jimmy McHugh
Touch Of Your Lips, The,Ray Noble
Tour De Force,Dizzy Gillespie
Toy Tune,Wayne Shorter
Toys,Herbie Hancock
Training,Michel Petrucciani
Trane’s Blues,John Coltrane
Travels,Pat Metheny
Tricotism,Oscar Pettiford
Trinkle Tinkle,Thelonious Monk
Triste,Antonio-Carlos Jobim
Troubled Waters,Arthur Johnston
Try A Little Tenderness,Harry Woods
Tune Up,Miles Davis
Turn Out The Stars,Bill Evans
Turnaround,Ornette Coleman
Twisted,Wardell Gray
Twisted Blues,Wes Montgomery
Two For The Road,Henry Mancini
Two Not One,Lennie Tristano
Two Sleepy People,Hoagy Carmichael
Ugly Beauty,Thelonious Monk
Undecided,Charlie Shavers
Under A Blanket Of Blue,Jerry Livingston
Unforgettable,Gordon Irving
Unit Seven,Sam Jones
United,Wayne Shorter
Unity Village,Pat Metheny
Unrequited,Brad Mehldau
Up Jumped Spring,Freddie Hubbard
Up With The Lark,Jerome Kern
Upper Manhattan Medical Group,Billy Strayhorn
Valse Hot,Sonny Rollins
Very Early,Bill Evans
Very Thought Of You, The,Ray Noble
Violets For Your Furs,Adair-Dennis
Virgo,Wayne Shorter
Voyage,Kenny Barron
Wait Till You See Her,Richard Rodgers
Walk Tall,Cannonball Adderley
Walkin',Miles Davis
Walkin' My Baby Back Home,Ahlert-Turk
Walkin' Shoes,Gerry Mulligan
Walkin' up,Bill Evans
Waltz For Debby,Bill Evans
Warm Valley,Duke Ellington
Watch What Happens,Michel Legrand
Watermelon Man,Herbie Hancock
Wave,Antonio-Carlos Jobim
Way You Look Tonight, The,Jerome Kern
Wayne's Thang,Kenny Garrett
We See,Thelonious Monk
We Will Meet Again,Bill Evans
We'll Be Together Again,Carl Fisher
Webb City,Bud Powell
Well You Needn't,Thelonious Monk
Wendy,Paul Desmond
West Coast Blues,Wes Montgomery
What A Difference A Day Made,Maria Grever
What A Little Moonlight Can Do,Harry Woods
What A Wonderful World,Weiss-Thiele
What Are You Doing New Years,Frank Loesser
What Are You Doing The Rest Of Your Life?,Michel Legrand
What Is This Thing Called Love,Cole Porter
What'll I Do,Irving Berlin
What's New,Bob Haggard
When I Fall In Love,Victor Young
When It Rains,Brad Mehldau
When It's Sleepy Time Down South,Traditional
When Lights Are Low,Benny Carter
When Sunny Gets Blue,Marvin Fisher
When The Saints Go Marching In,Traditional
When The Sun Comes Out,Harold Arlen
When You Wish Upon A Star,Leigh Harline
When You're Smilin',Shay,Fisher,Goodwin
Where Are You?,Jimmy McHugh
Where Or When,Richard Rodgers
While We're Young,Wilder-Palitz
Whisper Not,Benny Golson
Who Can I Turn To,Newley-Bricusse
Who Cares,George Gershwin
Who's Sorry Now?,Snyder-Kalmar-Ruby
Why Do I Love You?,Jerome Kern
Why Don't You Do Right?,Kansas-Joe McCoy
Wild Flower,Wayne Shorter
Will You Still Be Mine?,Matt Dennis
Willow Weep For Me,Ann Ronell
Windows,Chick Corea
Witch Hunt,Wayne Shorter
Witchcraft,Cy Coleman
With A Song In My Heart,Richard Rodgers
With The Wind And The Rain In Hair,Clare Edwards
Without A Song,Vincent Youmans
Wives And Lovers,Burt Bacharach
Woody'n You,Dizzy Gillespie
Work Song,Nat Adderley
Worth The Wait,Peter Erskine
Wouldn't It Be Loverly,Frederick Loewe
Wow,Lennie Tristano
Wrap Your Troubles In Dreams,Harry Barris
Yardbird Suite,Charlie Parker
Yes And No,Wayne Shorter
Yesterday's Gardenias,Robertson Mysels
Yesterdays,Jerome Kern
You And The Night And The Music,Arthur Schwartz
You Are Too Beautiful,Richard Rodgers
You Better Go Now,Reichner-Graham
You Better Leave it Alone,Clifford Jordan
You Brought A New Kind Of Love,Fain-Kaval-Norman
You Can Depend On Me,Carpenter-Dunlap-Hines
You Do Something To Me,Cole Porter
You Don't Know What Love Is,Raye-DePaul
You Go To My Head,Fred Coots
You Keep Coming Back Like A Song,Irving Berlin
You Made Me Love You,James Monaco
You Make Me Feel So Young,Josef Myrow
You Must Believe In Spring,Michel Legrand
You Stepped Out Of A Dream,Nacio-Herb-Brown
You Took Advantage Of Me,Richard Rodgers
You Turned The Tables on Me,Louis Alter
You Won't Forget Me,Goell-Spielman
You'd Be So Nice To Come Home To,Cole Porter
You're Blasé,Ord Hamilton
You're Everything,Chick Corea
You're Laughing At Me,Irving Berlin
You're My Everything,Harry Warren
You're My Thrill,Jay Gorney
You're Nobody Till Somebody Loves You,Morgan-Stock-Cavanaugh
You're The Top,Cole Porter
You've Changed,Carl Fisher
Young And Foolish,Albert Hague
Young At Heart,Johnny Richards
Zing Went The Strings Of My Heart,James Hanley
Zingaro (Retrato Em Branco E Preto),Antonio-Carlos Jobim
Zoltan,Woody Shaw
